_id,KODE PROVINSI,NAMA PROVINSI,KODE KAB,NAMA KABUPATEN,"DESA
MANDIRI","DESA
MAJU","DESA
BERKEMBANG","DESA
TERTINGGAL",DESA SANGAT TERTINGGAL,TIDAK MEMENUHI KRITERIA (tidak melakukan pengukuran berdasarkan,TOTAL DESA
1,11,ACEH,1105,ACEH BARAT,21,57,188,54,1,1,322
2,11,ACEH,1112,ACEH BARAT DAYA,7,30,112,3,0,0,152
3,11,ACEH,1106,ACEH BESAR,45,191,355,12,0,1,604
4,11,ACEH,1114,ACEH JAYA,12,28,115,15,2,0,172
5,11,ACEH,1101,ACEH SELATAN,13,37,159,49,2,0,260
6,11,ACEH,1110,ACEH SINGKIL,15,30,40,26,5,0,116
7,11,ACEH,1116,ACEH TAMIANG,39,69,91,16,0,1,216
8,11,ACEH,1104,ACEH TENGAH,50,71,148,26,0,0,295
9,11,ACEH,1102,ACEH TENGGARA,5,148,216,13,3,0,385
10,11,ACEH,1103,ACEH TIMUR,27,177,278,29,2,0,513
11,11,ACEH,1108,ACEH UTARA,8,100,542,188,14,0,852
12,11,ACEH,1117,BENER MERIAH,47,62,98,24,1,0,232
13,11,ACEH,1111,BIREUEN,21,139,399,50,0,0,609
14,11,ACEH,1113,GAYO LUES,5,33,80,18,0,0,136
15,11,ACEH,1171,KOTA BANDA ACEH,84,6,0,0,0,0,90
16,11,ACEH,1174,KOTA LANGSA,14,25,26,1,0,0,66
17,11,ACEH,1173,KOTA LHOKSEUMAWE,25,29,14,0,0,0,68
18,11,ACEH,1172,KOTA SABANG,9,9,0,0,0,0,18
19,11,ACEH,1175,KOTA SUBULUSSALAM,23,24,28,6,1,0,82
20,11,ACEH,1115,NAGAN RAYA,17,66,119,20,0,0,222
21,11,ACEH,1107,PIDIE,14,114,580,22,0,0,730
22,11,ACEH,1118,PIDIE JAYA,14,93,109,4,2,0,222
23,11,ACEH,1109,SIMEULUE,4,18,90,26,0,0,138
24,51,BALI,5103,BADUNG,46,0,0,0,0,0,46
25,51,BALI,5106,BANGLI,48,20,0,0,0,0,68
26,51,BALI,5108,BULELENG,91,38,0,0,0,0,129
27,51,BALI,5104,GIANYAR,64,0,0,0,0,0,64
28,51,BALI,5101,JEMBRANA,41,0,0,0,0,0,41
29,51,BALI,5107,KARANGASEM,53,22,0,0,0,0,75
30,51,BALI,5105,KLUNGKUNG,53,0,0,0,0,0,53
31,51,BALI,5171,KOTA DENPASAR,27,0,0,0,0,0,27
32,51,BALI,5102,TABANAN,133,0,0,0,0,0,133
33,36,BANTEN,3602,LEBAK,0,62,228,49,1,0,340
34,36,BANTEN,3601,PANDEGLANG,4,94,218,10,0,0,326
35,36,BANTEN,3604,SERANG,16,78,231,1,0,0,326
36,36,BANTEN,3603,TANGERANG,78,143,25,0,0,0,246
37,17,BENGKULU,1701,BENGKULU SELATAN,14,93,35,0,0,0,142
38,17,BENGKULU,1709,BENGKULU TENGAH,21,46,69,6,0,0,142
39,17,BENGKULU,1703,BENGKULU UTARA,22,90,100,3,0,0,215
40,17,BENGKULU,1704,KAUR,9,72,108,3,0,0,192
41,17,BENGKULU,1708,KEPAHIANG,15,30,60,0,0,0,105
42,17,BENGKULU,1707,LEBONG,2,25,65,1,0,0,93
43,17,BENGKULU,1706,MUKO MUKO,20,95,33,0,0,0,148
44,17,BENGKULU,1702,REJANG LEBONG,14,43,58,7,0,0,122
45,17,BENGKULU,1705,SELUMA,1,57,113,11,0,0,182
46,34,DAERAH ISTIMEWA YOGYAKARTA,3402,BANTUL,75,0,0,0,0,0,75
47,34,DAERAH ISTIMEWA YOGYAKARTA,3403,GUNUNGKIDUL,126,18,0,0,0,0,144
48,34,DAERAH ISTIMEWA YOGYAKARTA,3401,KULON PROGO,72,15,0,0,0,0,87
49,34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,82,4,0,0,0,0,86
50,75,GORONTALO,7502,BOALEMO,10,34,36,2,0,0,82
51,75,GORONTALO,7503,BONE BOLANGO,75,63,22,0,0,0,160
52,75,GORONTALO,7501,GORONTALO,59,94,38,0,0,0,191
53,75,GORONTALO,7505,GORONTALO UTARA,35,61,27,0,0,0,123
54,75,GORONTALO,7504,POHUWATO,7,39,55,0,0,0,101
55,15,JAMBI,1504,BATANGHARI,91,17,2,0,0,0,110
